x,y,z
124.69455908716708,418.74278761904696,a
124.79964362653033,445.2786169423697,a
140.60433419151317,461.90745677824555,a
142.6890872965352,394.9870525460182,a
145.36171609445506,427.6673227461616,a
91.86329596743656,401.8220477815937,a
120.35863356454163,379.8186849822505,a
150.7972016899655,346.657771401544,a
155.860777412167,341.3323138248702,a
102.88001692948404,382.27314690103185,a
55.306156270617066,388.50045781005514,a
119.04694589959375,363.9935828046008,a
110.19449344142701,369.1682787373659,a
122.64334498534323,337.74566595446595,a
87.9737537149753,377.5249075630418,a
58.08350046621024,349.7591079061016,a
115.46242090785468,386.548221192572,a
143.0618757798474,379.1573205867001,a
194.58168587920954,336.8667034114835,a
163.5340926301132,423.9510740650435,a
128.6376184426788,327.47891090328557,a
196.57173471598372,388.032842623827,a
194.90572935864344,396.93992190248315,a
181.21758452384117,336.148039490972,a
224.67677577337216,354.3186774553195,a
216.2403018191607,399.25819076562715,a
203.43550737817034,373.22679459177834,a
219.70074288704703,301.5952541414272,a
223.7286261302416,304.73406865479274,a
173.37712482113835,340.37953071036657,a
252.70917151436927,359.10474221591585,a
196.03186380991065,359.7410709878554,a
234.85255638934095,363.12348252356,a
192.739444050761,333.06329364226673,a
182.1835093155102,277.0175105323919,a
188.8349667727839,316.88109984410835,a
189.85068519340095,300.80042670921114,a
161.06090180927032,334.94348994532277,a
185.28556845372808,290.472738590594,a
138.71290900927377,311.7984798937749,a
171.4596818846985,384.0034358676711,a
225.50871181160312,339.97069646661765,a
197.32909118622402,318.5489237509964,a
161.73140835950014,291.2947675100056,a
222.63046041583084,367.07998260206244,a
507.81150240448625,439.5513165936723,a
462.3759093051821,412.5164911725399,a
438.6287184188081,370.98583211752697,a
505.47468568800554,417.7649175309077,a
530.8671199296807,370.91798216643156,a
467.2640891925377,357.52504141923794,a
515.7836201963627,362.3942206676472,a
482.7349115852168,376.6203406946874,a
486.8559338546555,323.9038921829084,a
517.7064535833491,275.6531237703572,a
551.5587486358239,328.9437405444652,a
525.1425416140926,383.9477637720159,a
505.2253814185134,305.5560611100839,a
500.766781093999,258.6732076729536,a
548.8298271376885,287.531821974221,a
550.6538599543334,254.08088316598707,a
545.67779028078,298.36911089772804,a
548.8651316363872,289.555687349951,a
507.36949480251275,210.38004244188687,a
497.2519483907112,210.96389814844292,a
526.4612736754488,266.0179806580703,a
543.187744741186,250.85132276262763,a
464.8057633483054,285.34023514354095,a
521.379784181363,239.32219813651284,a
502.9646940212411,266.73915040852495,a
532.8579400779391,286.51572336583945,a
478.9519570225736,258.72810605602933,a
519.387181959405,243.13943349485987,a
565.7077597915975,263.51228486233117,a
531.3752171317589,254.06789173867074,a
563.5541175162844,231.29511273099,a
536.0458843056815,256.71257892140886,a
601.9457610308573,237.22900306537974,a
590.8887131303838,252.8204032483485,a
554.6486513854043,232.59933772239486,a
486.1592857071029,132.47526386949556,a
546.8610924206953,113.94861152047827,a
505.59257543629826,81.06389253683955,a
494.38486586362546,48.7658655273633,a
525.4246514470618,118.3336194180331,a
511.08695674973126,110.0079985681644,a
440.81070337631326,77.05717670523006,a
455.07017550563927,82.30070751875269,a
417.908687047037,77.45203239487296,a
366.8433128530108,64.23804445392562,a
348.76101642062775,69.30828948659331,a
305.7126051239475,98.7245784357043,a
